id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
741,Gundars,Vetra,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
742,Corey,Williams,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
743,Elmore,Spencer,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
744,Anthony,Peeler,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
745,Duane,Cooper,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
746,John,Crotty,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
747,Stephen,Howard,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
748,Byron,Houston,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
749,Keith,Jennings,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
750,Latrell,Sprewell,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
751,Bryant,Stith,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
752,LaPhonso,Ellis,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
753,Matt,Othick,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
754,Sam,Mack,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
755,Anthony,Pullard,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
756,Malik,Sealy,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
757,Hubert,Davis,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
758,Sean,Rooks,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
759,Walter,Bond,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
760,Harold,Miner,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
761,Oliver,Miller,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
762,Lorenzo,Williams,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
763,Dave,Johnson,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
764,Reggie,Smith,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
765,Tracy,Murray,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
766,Robert,Werdann,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
767,Alex,Stivrins,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
768,Frank,Johnson,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
769,Randy,Woods,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
770,Litterial,Green,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
771,Alonzo,Mourning,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
772,Alex,Blackwell,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
773,Isaiah,Morris,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
774,Doug,Overton,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
